Ccountry;COUNTRY;HAKENRTN;HAKESOTH;CODNEARNCW_CODNEARCODNEAR;CODFAPL;CODICE;CODBA2532;CODKAT;CODIS;CODVIa;CODIIIaW;AC_cod;AC_hake
BE;Belgium;3.5;0;0;0;0;0;0;38.6;0;0;38.6;3.5
DK;Denmark;406.8;0;1;0;0;7625.6;3014.8;0;0;0;10641.4;406.8
DE;Germany;5.4;0;2138.6;1;38;2577;62.8;0;1.666666667;0;4819.066667;5.4
EE;Estonia;0;0;15;0;0;433;0;0;0;0;448;0
IE;Irland;0;0;123.4285714;0;0;0;0;422.6;43.8;0;589.8285714;0
ES;Spain;1962.285714;2347.7;3245.166667;0;0;0;0;0;0;0;3245.166667;4309.985714
FR;France;1979.3125;210.5;1051.727273;0;0;0;1;10.4;83.2;1.5;1147.827273;2189.8125
LV;Latvia;0;0;0;0;0;1535.8;0;0;0;0;1535.8;0
LT;Lithuania;0;0;;0;0;237.5;0;0;0;0;237.5;0
NL;Netherlands;1.6;0;0;0;0;0;21.2;0;0;0;21.2;1.6
PL;Poland;0;0;765.2;0;0;6533.2;0;0;0;0;7298.4;0
PT;Portugal;0;984.7777778;1459.666667;0;0;0;346;0;0;0;1805.666667;984.7777778
FI;Finland;0;0;;0;0;434.5;0;0;0;0;434.5;0
SE;Sweden;56.8;0;0;0;0;9284.6;568.4;0;0;0;9853;56.8
Stock;Stock;4415.698214;3542.977778;8799.789177;1;38;28661.2;4014.2;471.6;128.6666667;1.5;42115.95584;7958.675992
